gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
ENSG00000011426.11	ANLN	protein_coding	2696	1325	1431	24.7019	6.4377	7.1159
ENSG00000011426.11	ANLN	protein_coding	4322	2244	2220	44.4255	12.5465	12.9107
ENSG00000011426.11	ANLN	protein_coding	6315	3299	3174	50.4699	16.0077	17.0902
ENSG00000011426.11	ANLN	protein_coding	598	319	298	7.1796	2.0212	1.8921
ENSG00000011426.11	ANLN	protein_coding	1791	934	910	15.8366	4.1051	3.9325
ENSG00000011426.11	ANLN	protein_coding	446	236	210	3.8683	1.5058	1.9053
ENSG00000011426.11	ANLN	protein_coding	370	188	189	4.1837	1.1752	1.0769
ENSG00000011426.11	ANLN	protein_coding	2005	1014	1044	20.1693	5.4935	5.1265
ENSG00000011426.11	ANLN	protein_coding	1988	1052	1004	17.0791	5.8302	5.4051
ENSG00000011426.11	ANLN	protein_coding	140	75	73	1.1413	0.3041	0.2831
ENSG00000011426.11	ANLN	protein_coding	10354	5408	5338	73.2546	21.5783	21.5527
ENSG00000011426.11	ANLN	protein_coding	800	402	422	9.0184	2.8291	2.8497
ENSG00000011426.11	ANLN	protein_coding	553	274	298	8.3608	2.1094	1.8581
ENSG00000011426.11	ANLN	protein_coding	440	245	208	8.4974	2.7975	2.5396
ENSG00000011426.11	ANLN	protein_coding	55	30	26	0.4252	0.1385	0.1721
ENSG00000011426.11	ANLN	protein_coding	415	206	221	3.7684	1.0855	1.1507
ENSG00000011426.11	ANLN	protein_coding	34	11	23	0.3124	0.1198	0.1476
ENSG00000011426.11	ANLN	protein_coding	8522	4407	4348	62.5962	21.0050	21.1148
ENSG00000011426.11	ANLN	protein_coding	1895	967	995	16.6340	4.1049	3.9736
ENSG00000011426.11	ANLN	protein_coding	1827	948	940	26.5311	8.1783	8.0009
ENSG00000011426.11	ANLN	protein_coding	4525	2362	2349	46.9798	12.4578	11.7671
ENSG00000011426.11	ANLN	protein_coding	1533	739	831	16.5000	4.7911	4.9099
ENSG00000011426.11	ANLN	protein_coding	1935	973	1020	16.6857	4.9003	4.9784
ENSG00000011426.11	ANLN	protein_coding	1117	543	592	10.2463	3.1426	3.1393
ENSG00000011426.11	ANLN	protein_coding	326	167	164	3.0652	1.0038	1.1821
ENSG00000011426.11	ANLN	protein_coding	3450	1771	1751	29.9765	10.5745	11.0226
ENSG00000011426.11	ANLN	protein_coding	6964	3457	3604	81.8879	24.7283	24.3905
ENSG00000011426.11	ANLN	protein_coding	1952	1017	971	24.1713	6.5826	6.3470
ENSG00000011426.11	ANLN	protein_coding	940	485	499	12.9734	3.1868	3.1249
ENSG00000011426.11	ANLN	protein_coding	2122	1047	1150	17.6240	4.7958	5.0437
ENSG00000011426.11	ANLN	protein_coding	1833	948	957	16.7893	4.4199	4.6474
ENSG00000011426.11	ANLN	protein_coding	2808	1428	1463	22.4878	6.1399	6.1740
ENSG00000011426.11	ANLN	protein_coding	3184	1620	1610	27.9850	9.0419	8.8674
ENSG00000011426.11	ANLN	protein_coding	103	57	46	1.1123	0.3697	0.4261
ENSG00000011426.11	ANLN	protein_coding	586	294	306	6.7302	1.9481	1.8012
ENSG00000011426.11	ANLN	protein_coding	1376	699	722	11.0319	3.1224	2.9714
ENSG00000011426.11	ANLN	protein_coding	1055	526	541	11.0069	3.8929	3.7889
ENSG00000011426.11	ANLN	protein_coding	58	39	20	0.5443	0.1784	0.2259
ENSG00000011426.11	ANLN	protein_coding	7575	3920	3846	61.4164	16.8983	15.4353
ENSG00000011426.11	ANLN	protein_coding	1649	839	842	16.9506	6.0972	6.6852
ENSG00000011426.11	ANLN	protein_coding	1626	846	812	13.7711	5.3132	6.1549
ENSG00000011426.11	ANLN	protein_coding	3071	1609	1575	40.3714	10.9048	12.1084
ENSG00000011426.11	ANLN	protein_coding	927	473	470	4.8355	2.2907	3.1470
ENSG00000011426.11	ANLN	protein_coding	3529	1812	1734	43.2078	14.6783	15.1888
ENSG00000011426.11	ANLN	protein_coding	2818	1448	1416	26.4992	8.4825	9.0157
ENSG00000011426.11	ANLN	protein_coding	1318	645	700	12.3636	3.4199	3.3850
ENSG00000011426.11	ANLN	protein_coding	5100	2581	2701	43.6049	11.9353	12.0909
ENSG00000011426.11	ANLN	protein_coding	1159	562	625	10.5245	3.7322	3.6811
ENSG00000011426.11	ANLN	protein_coding	322	170	168	4.2623	1.2602	1.2949
ENSG00000011426.11	ANLN	protein_coding	430	224	217	7.0022	2.4331	2.5668
ENSG00000011426.11	ANLN	protein_coding	2059	1048	1071	25.6301	7.2408	6.4301
ENSG00000011426.11	ANLN	protein_coding	3776	1931	1965	36.8973	9.7886	9.8245
ENSG00000011426.11	ANLN	protein_coding	1884	945	944	20.9485	7.1670	8.3003
ENSG00000011426.11	ANLN	protein_coding	1145	588	575	8.6910	3.1163	3.7393
ENSG00000011426.11	ANLN	protein_coding	5805	2936	3022	41.2008	14.3991	15.1621
ENSG00000011426.11	ANLN	protein_coding	2326	1235	1167	18.4644	6.0187	6.2658
ENSG00000011426.11	ANLN	protein_coding	125	60	72	1.1918	0.4056	0.5194
ENSG00000011426.11	ANLN	protein_coding	798	385	424	11.3143	2.9492	2.9149
ENSG00000011426.11	ANLN	protein_coding	219	112	112	3.2017	0.8355	0.7550
ENSG00000011426.11	ANLN	protein_coding	1969	1052	982	30.4940	7.3717	6.7320
ENSG00000011426.11	ANLN	protein_coding	5418	2926	2858	17.5786	15.0253	17.0232
ENSG00000011426.11	ANLN	protein_coding	1145	562	616	16.1367	4.7112	5.0043
ENSG00000011426.11	ANLN	protein_coding	1662	912	842	5.0218	6.8162	6.7866
ENSG00000011426.11	ANLN	protein_coding	11177	5929	5998	32.6973	23.8714	25.8494
ENSG00000011426.11	ANLN	protein_coding	12579	6803	6648	36.9793	34.4908	37.5824
ENSG00000011426.11	ANLN	protein_coding	984	480	521	11.1056	3.5310	3.2699
ENSG00000011426.11	ANLN	protein_coding	971	494	508	12.7907	3.5577	3.5933
ENSG00000011426.11	ANLN	protein_coding	1267	659	703	4.4192	3.9827	4.1015
ENSG00000011426.11	ANLN	protein_coding	1083	543	566	8.7830	2.8837	3.3870
ENSG00000011426.11	ANLN	protein_coding	1673	861	864	19.3795	5.4347	5.7144
ENSG00000011426.11	ANLN	protein_coding	1786	907	912	24.7990	7.7703	7.2423
ENSG00000011426.11	ANLN	protein_coding	2088	1096	1040	19.4295	5.6356	7.4318
ENSG00000011426.11	ANLN	protein_coding	3265	1670	1700	34.7834	8.4715	8.0719
ENSG00000011426.11	ANLN	protein_coding	1460	754	763	13.5272	3.7041	3.8191
ENSG00000011426.11	ANLN	protein_coding	1124	568	593	11.7427	3.0015	3.1110
ENSG00000011426.11	ANLN	protein_coding	3357	1679	1727	33.6342	12.0374	13.5189
ENSG00000011426.11	ANLN	protein_coding	817	408	425	10.5831	2.9327	2.8021
ENSG00000011426.11	ANLN	protein_coding	361	186	183	3.5666	0.9481	0.9087
ENSG00000011426.11	ANLN	protein_coding	1589	830	804	16.6738	4.8517	4.6322
ENSG00000011426.11	ANLN	protein_coding	6003	3139	3011	35.3225	12.0119	12.9343
ENSG00000011426.11	ANLN	protein_coding	111	54	59	1.4855	0.4334	0.4475
ENSG00000011426.11	ANLN	protein_coding	8434	4335	4225	79.3389	23.8554	24.5150
ENSG00000011426.11	ANLN	protein_coding	116	57	63	1.5754	0.4556	0.4297
ENSG00000011426.11	ANLN	protein_coding	956	521	473	8.8832	2.4427	2.6075
ENSG00000011426.11	ANLN	protein_coding	1420	719	743	13.7305	3.8554	4.1091
ENSG00000011426.11	ANLN	protein_coding	739	365	388	15.7684	4.7484	4.4264
ENSG00000011426.11	ANLN	protein_coding	2958	1546	1442	25.0783	7.1612	7.0880
ENSG00000011426.11	ANLN	protein_coding	1352	6	1459	13.3159	7.4635	7.0858
ENSG00000011426.11	ANLN	protein_coding	9187	4589	4812	103.8390	25.0443	23.9154
ENSG00000011426.11	ANLN	protein_coding	151	72	87	2.0609	0.6062	0.6458
ENSG00000011426.11	ANLN	protein_coding	1069	545	547	7.1312	2.4837	2.7855
