gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
ENSG00000128052.10	KDR	protein_coding	2774	1413	1361	24.0377	6.2646	6.9246
ENSG00000128052.10	KDR	protein_coding	2567	1290	1277	24.9546	7.0476	7.2521
ENSG00000128052.10	KDR	protein_coding	924	508	416	6.9841	2.2151	2.3649
ENSG00000128052.10	KDR	protein_coding	2025	1010	1016	22.9933	6.4729	6.0597
ENSG00000128052.10	KDR	protein_coding	3627	1868	1759	30.3313	7.8623	7.5317
ENSG00000128052.10	KDR	protein_coding	399	172	227	3.2729	1.2740	1.6121
ENSG00000128052.10	KDR	protein_coding	1918	926	992	20.5110	5.7615	5.2796
ENSG00000128052.10	KDR	protein_coding	2193	1093	1100	20.8637	5.6827	5.3030
ENSG00000128052.10	KDR	protein_coding	1900	958	942	15.4375	5.2698	4.8856
ENSG00000128052.10	KDR	protein_coding	15789	8025	7765	121.7299	32.4386	30.1990
ENSG00000128052.10	KDR	protein_coding	4997	2492	2505	33.4358	9.8491	9.8374
ENSG00000128052.10	KDR	protein_coding	1358	693	666	14.4782	4.5419	4.5750
ENSG00000128052.10	KDR	protein_coding	2448	1187	1261	35.0035	8.8313	7.7791
ENSG00000128052.10	KDR	protein_coding	1810	915	895	33.0587	10.8837	9.8801
ENSG00000128052.10	KDR	protein_coding	8710	4364	4346	63.6768	20.7391	25.7802
ENSG00000128052.10	KDR	protein_coding	2064	1068	996	17.7251	5.1058	5.4127
ENSG00000128052.10	KDR	protein_coding	6389	3145	3245	55.5172	21.2973	26.2287
ENSG00000128052.10	KDR	protein_coding	2778	1412	1366	19.2981	6.4757	6.5096
ENSG00000128052.10	KDR	protein_coding	2983	1475	1509	24.7638	6.1111	5.9157
ENSG00000128052.10	KDR	protein_coding	870	414	456	11.9485	3.6831	3.6033
ENSG00000128052.10	KDR	protein_coding	2817	1401	1416	27.6602	7.3348	6.9281
ENSG00000128052.10	KDR	protein_coding	4540	2256	2284	46.2141	13.4190	13.7520
ENSG00000128052.10	KDR	protein_coding	4555	2260	2295	37.1474	10.9095	11.0833
ENSG00000128052.10	KDR	protein_coding	1492	742	750	12.9437	3.9699	3.9657
ENSG00000128052.10	KDR	protein_coding	1031	535	496	9.1680	3.0024	3.5355
ENSG00000128052.10	KDR	protein_coding	4301	2069	2232	35.3434	12.4677	12.9960
ENSG00000128052.10	KDR	protein_coding	646	333	313	7.1841	2.1694	2.1398
ENSG00000128052.10	KDR	protein_coding	2558	1265	1293	29.9570	8.1582	7.8663
ENSG00000128052.10	KDR	protein_coding	2137	1117	1020	27.8937	6.8518	6.7187
ENSG00000128052.10	KDR	protein_coding	2692	1330	1362	21.1451	5.7539	6.0514
ENSG00000128052.10	KDR	protein_coding	2473	1263	1210	21.4225	5.6397	5.9299
ENSG00000128052.10	KDR	protein_coding	3996	2023	1973	30.2658	8.2635	8.3094
ENSG00000128052.10	KDR	protein_coding	1498	737	761	12.4520	4.0232	3.9456
ENSG00000128052.10	KDR	protein_coding	605	303	302	6.1791	2.0536	2.3673
ENSG00000128052.10	KDR	protein_coding	2815	1427	1388	30.5762	8.8504	8.1829
ENSG00000128052.10	KDR	protein_coding	3868	1920	1948	29.3289	8.3010	7.8995
ENSG00000128052.10	KDR	protein_coding	1303	631	672	12.8569	4.5472	4.4257
ENSG00000128052.10	KDR	protein_coding	9067	4573	4494	80.4715	26.3696	33.3970
ENSG00000128052.10	KDR	protein_coding	3578	1777	1801	27.4358	7.5488	6.8952
ENSG00000128052.10	KDR	protein_coding	755	416	339	7.3399	2.6402	2.8948
ENSG00000128052.10	KDR	protein_coding	2083	1080	1003	16.6846	6.4373	7.4570
ENSG00000128052.10	KDR	protein_coding	1614	781	833	20.0666	5.4202	6.0185
ENSG00000128052.10	KDR	protein_coding	3296	1675	1621	16.2601	7.7030	10.5824
ENSG00000128052.10	KDR	protein_coding	5914	2989	2925	68.4807	23.2639	24.0730
ENSG00000128052.10	KDR	protein_coding	2145	1075	1070	19.0764	6.1064	6.4903
ENSG00000128052.10	KDR	protein_coding	1103	527	576	9.7855	2.7067	2.6791
ENSG00000128052.10	KDR	protein_coding	5405	2639	2766	43.7056	11.9629	12.1188
ENSG00000128052.10	KDR	protein_coding	1712	842	870	14.7028	5.2139	5.1425
ENSG00000128052.10	KDR	protein_coding	3598	1844	1754	45.0431	13.3176	13.6845
ENSG00000128052.10	KDR	protein_coding	1068	508	560	16.4481	5.7153	6.0294
ENSG00000128052.10	KDR	protein_coding	1743	852	891	20.5195	5.7970	5.1480
ENSG00000128052.10	KDR	protein_coding	2904	1453	1451	26.8371	7.1197	7.1458
ENSG00000128052.10	KDR	protein_coding	1370	672	698	14.4068	4.9289	5.7084
ENSG00000128052.10	KDR	protein_coding	226	115	111	1.6224	0.5817	0.6980
ENSG00000128052.10	KDR	protein_coding	8208	4182	4028	55.0956	19.2552	20.2755
ENSG00000128052.10	KDR	protein_coding	1775	869	906	13.3260	4.3438	4.5221
ENSG00000128052.10	KDR	protein_coding	8122	3970	4152	73.2369	24.9236	31.9163
ENSG00000128052.10	KDR	protein_coding	1810	930	880	24.2705	6.3264	6.2528
ENSG00000128052.10	KDR	protein_coding	3936	1973	1964	54.4207	14.2020	12.8336
ENSG00000128052.10	KDR	protein_coding	1808	922	886	26.4816	6.4017	5.8462
ENSG00000128052.10	KDR	protein_coding	2484	1263	1221	7.6221	6.5150	7.3812
ENSG00000128052.10	KDR	protein_coding	1420	711	710	18.9266	5.5257	5.8695
ENSG00000128052.10	KDR	protein_coding	3037	1531	1507	8.6786	11.7796	11.7285
ENSG00000128052.10	KDR	protein_coding	6692	3389	3305	18.5148	13.5171	14.6372
ENSG00000128052.10	KDR	protein_coding	5358	2708	2650	14.8968	13.8943	15.1397
ENSG00000128052.10	KDR	protein_coding	3184	1657	1527	33.9857	10.8058	10.0067
ENSG00000128052.10	KDR	protein_coding	2117	1071	1046	26.3737	7.3357	7.4091
ENSG00000128052.10	KDR	protein_coding	3358	1644	1715	11.0770	9.9828	10.2806
ENSG00000128052.10	KDR	protein_coding	1735	880	855	13.3073	4.3691	5.1317
ENSG00000128052.10	KDR	protein_coding	4653	2326	2327	50.9748	14.2952	15.0310
ENSG00000128052.10	KDR	protein_coding	797	404	393	10.4662	3.2794	3.0565
ENSG00000128052.10	KDR	protein_coding	6482	3230	3253	57.0448	16.5461	21.8196
ENSG00000128052.10	KDR	protein_coding	2145	1121	1024	21.6119	5.2636	5.0153
ENSG00000128052.10	KDR	protein_coding	1590	787	803	13.9325	3.8151	3.9335
ENSG00000128052.10	KDR	protein_coding	3569	1759	1810	35.2634	9.0134	9.3425
ENSG00000128052.10	KDR	protein_coding	2501	1201	1300	23.6984	8.4815	9.5254
ENSG00000128052.10	KDR	protein_coding	1628	790	839	19.9444	5.5268	5.2807
ENSG00000128052.10	KDR	protein_coding	9065	4541	4524	84.7015	22.5150	21.5804
ENSG00000128052.10	KDR	protein_coding	1385	686	699	13.7447	3.9994	3.8184
ENSG00000128052.10	KDR	protein_coding	689	342	347	3.8342	1.3039	1.4040
ENSG00000128052.10	KDR	protein_coding	4109	2044	2065	52.0078	15.1747	15.6676
ENSG00000128052.10	KDR	protein_coding	1501	806	696	13.3540	4.0152	4.1263
ENSG00000128052.10	KDR	protein_coding	3438	1696	1742	44.1582	12.7702	12.0451
ENSG00000128052.10	KDR	protein_coding	2649	1346	1303	23.2794	6.4014	6.8333
ENSG00000128052.10	KDR	protein_coding	3248	1641	1608	29.7024	8.3401	8.8890
ENSG00000128052.10	KDR	protein_coding	773	410	363	15.5991	4.6975	4.3789
ENSG00000128052.10	KDR	protein_coding	1846	890	956	14.8016	4.2266	4.1834
ENSG00000128052.10	KDR	protein_coding	1354	0	1354	12.6122	7.0690	6.7113
ENSG00000128052.10	KDR	protein_coding	961	481	480	10.2727	2.4776	2.3659
ENSG00000128052.10	KDR	protein_coding	3743	1871	1872	48.3151	14.2117	15.1392
ENSG00000128052.10	KDR	protein_coding	4966	2438	2528	31.3304	10.9122	12.2379
ENSG00000128052.10	KDR	protein_coding	1925	1004	923	17.0610	7.1202	6.3712
ENSG00000128052.10	KDR	protein_coding	4551	2246	2306	48.6941	11.7556	11.3879
ENSG00000128052.10	KDR	protein_coding	2977	1507	1470	29.7552	8.4979	7.7854
ENSG00000128052.10	KDR	protein_coding	7697	3748	3951	58.4818	15.6618	15.2424
ENSG00000128052.10	KDR	protein_coding	2349	1219	1130	21.0199	5.3626	4.6898
ENSG00000128052.10	KDR	protein_coding	1115	580	536	15.6948	4.0343	3.5713
ENSG00000128052.10	KDR	protein_coding	1328	630	698	18.4925	5.2446	5.3375
ENSG00000128052.10	KDR	protein_coding	871	432	439	24.0506	5.6586	4.8381
ENSG00000128052.10	KDR	protein_coding	2541	1272	1269	22.1122	5.9187	5.8529
ENSG00000128052.10	KDR	protein_coding	2324	1158	1166	30.0078	8.2475	7.3484
ENSG00000128052.10	KDR	protein_coding	4152	2034	2118	36.7434	9.9351	9.9494
ENSG00000128052.10	KDR	protein_coding	5651	2812	2839	64.7897	18.4157	18.1453
ENSG00000128052.10	KDR	protein_coding	1421	744	677	16.4519	4.9889	4.5699
ENSG00000128052.10	KDR	protein_coding	5343	2714	2629	39.3176	10.8159	10.3507
ENSG00000128052.10	KDR	protein_coding	940	489	451	10.5145	3.0908	3.3175
ENSG00000128052.10	KDR	protein_coding	500	22	478	12.0824	4.2020	4.3075
ENSG00000128052.10	KDR	protein_coding	3582	1788	1794	44.9120	12.0086	10.8541
ENSG00000128052.10	KDR	protein_coding	6391	3280	3111	54.5433	15.8131	15.7332
ENSG00000128052.10	KDR	protein_coding	1490	772	718	18.0210	4.3608	4.0302
ENSG00000128052.10	KDR	protein_coding	8734	4269	4466	70.3154	18.6956	20.4242
ENSG00000128052.10	KDR	protein_coding	1894	926	968	11.3968	4.6688	5.2270
ENSG00000128052.10	KDR	protein_coding	7105	3557	3548	66.6828	17.4824	16.5728
ENSG00000128052.10	KDR	protein_coding	2430	1208	1222	24.2420	6.8600	7.0078
ENSG00000128052.10	KDR	protein_coding	1404	714	690	9.9026	3.1199	3.0971
ENSG00000128052.10	KDR	protein_coding	862	405	457	9.9188	3.7503	4.2491
